program,code,title,description,credits,prerequisite
BAB,ECON120,Evolution of Economic Thought,"This course examines the development of economic theories, models, and schools of thought from the birth of market economies to the present. Topics include the historical, institutional, and social forces shaping economic thinking and public policy. The course emphasizes foundational issues such as the role of the state in the economy, the social and economic consequences of property, prices, money, production, trade and other defining attributes of contemporary society. Home tasks include reading, research, and case studies. Three hours of instructor-led class time per week.",3,ECON121
BAB,ECON121,Principles of Microeconomics,"This course examines basic principles of microeconomics including core elements of supply and demand, opportunity cost, market equilibrium, elasticity, and income distribution. Students will use these basic principles to evaluate market efficiency and social welfare resulting from the interactions of consumers, firms, and government regulation and intervention. Students will learn to define these basic principles and appropriately apply them to analyze case studies and current economic problems. Students are required to complete weekly reading assignments and use appropriate software to solve problem sets. Three hours of instructor-led class time per week.",3,
BAB,ECON122,Principles of Macroeconomics,"This course examines aggregate economic activity in relation to the level, stability, and growth of national income, consumption, employment, interest rates, and inflation as well as the impact of the global economy. The course emphasizes the role and impact of monetary and fiscal policy on domestic and international economic stability and growth. Students will learn to describe and apply basic principles of macroeconomics as well as analyze the impact of monetary and fiscal policy on aggregate national and international economics. Students are required to complete weekly reading assignments and use appropriate software to complete problem sets and case studies. Three hours of instructor-led class time per week.",3,
BAB,ECON201,Economics and Public Policy,In this course students will analyze the role of government in the economy by exploring the short- and long-term objectives of government (mitigating business cycles vs promoting growth) and efficiencies vs. equity motivation for public policy. Topics may include the sources of government income and expenditures and the positives and negatives of the government intervention policies in critical areas like infrastructure and environment or international trade and financial markets.,3,
BAB,ECON221,Intermediate Microeconomics,"The course examines the theories of utility and demand, production, cost functions in the short and long run general equilibrium analysis, and supply under differing market conditions of perfect competition and monopoly. Problems and applications are used to acquaint students with the implications of the theoretical concepts. Home tasks will include completion of reading assignments and problem sets. Three hours of instructor-led class time per week.",3,EQCALC1
BAB,ECON222,Intermediate Macroeconomics,"Building on topics introduced in ECON 122, Principles of Macroeconomics, this course covers topics including per capita income theories and comparisons across countries and time, fluctuations in output and employment, and the role of government in influencing aggregate variables. Home tasks include reading, research, and case study analysis. Three hour of instructor-led class time per week.",3,ECON122
BAB,ECON223,Economics of Sustainable Development,"This course examines the concepts and methods used to analyze the interactions among the economy, the environment and society. . Students will work individually and in groups to examine how markets can address environmental and societal problems and promote sustainable development. Home tasks include reading, research, and case analysis. Three hours of instructor-led class time per week.",3,ECON121
BAB,ECON224,Introduction to Econometrics,"This course provides a comprehensive introduction to econometrics. Students will learn to apply relevant models and methods to estimate relationships between economic variables, test hypotheses, and solve economic problems using appropriate software. Topics include theoretic probability, random variables, single and multiple regression analysis, functional forms, omitted variable analysis, multicollinearity, heteroscedesticity, autocorrelation, simultaneous equations, and dynamic models. Home tasks will include completion of reading assignments and problem sets. Three hours of instructor-led class time per week.",3,"BUS109 or CS100, BUS110 or CS108"
BAB,ECON225,International Economics,"This course examines globalization, international monetary issues, and international trade in a world of nation states and international and regional organizations. Students will explore theories and apply them to policy issues. Topics include foreign exchange markets, balance-of-payment adjustment, exchange rate theories, impediments to trade, financial crises, and monetary and fiscal policy in a global economy. Home tasks will include reading assignments and case study analysis. Three hour of instructor-led class time per week.",3,
BAB,ECON228,Economics of Development,"This course examines the evolving definition of economic development and the changing processes that support and hinder it. Students will be introduced to a range of development theories and will analyze how economic development is impacted by human capital (education, health and nutrition), income distribution, the rural and urban sectors, technology, investment, property rights and contracts, international migration and remittances, infrastructure. The course will also cover national and international policies and reforms, financial markets, foreign trade, foreign aid, and international institutions. Through this course, students will learn to measure economic development, analyze variables that contribute to or deter it, and develop evidence-based solutions to real-world economic challenges. Home tasks will include completion of reading assignments and case studies. Three hours of instructor-led class time per week.",3,"ECON121, ECON122"
BAB,ECON229,Special Topics in Economics,This course explores topics in economics with emphasis on current problems and research. Topics to be announced prior to course registration. Three hour of instructor-led class time per week.,3,"BUS209, ECON121"
MSE,ECON300,Quantitative Methods for Economists,"This course is an introduction to mathematical economics. Students learn mathematical tools and methods used in economic analysis and finance theory. Topics include multivariate calculus, optimization theory, and linear (matrix) algebra. (Pass/Fail only).",2,
MSE,ECON301,Grad Preparatory Microeconomics,"The course provides a pre-graduate treatment to Consumer, Producer, and General Equilibrium theories and their applications. Topics include theories of utility and demand, production, cost functions in the short and long run general equilibrium analysis, and supply under differing market conditions of perfect competition and monopoly.",2,
MSE,ECON305,Economic Analysis and Communications,"The course synthesises two main practices of economics professionals: thinking like an economist and communicating economics to main stakeholders. Topics include philosophy of economics (epistemology, history of thought, methods of enquiry, quantitative and empirical modelling), data visualisation and analytics, and communicating economics to academia, business, government, and the general public.",3,
MSE,ECON310,Statistical Methods for Economists,"This course provides students with a survey of statistical methodology. Topics include probability and sampling, distribution theory, hypothesis testing, estimation, analysis of variance, confidence intervals, and linear regression. (Pass/Fail only).",2,
MSE,ECON311,Econometrics,"Through this course, students learn to apply statistical methods to quantify economic relationships. Topics include econometric models, hypothesis testing, least squares, instrumental variables, panel data methods, and time series. Through lectures and weekly problem sets, students learn to use statistical software to test and estimate economic relationships and evaluate empirical economic research. Students apply what they learn to real data and write an empirical paper on a topic of interest. Three hours of instructor-led class time per week.",3,
MSE,ECON312,Time Series Analysis,"This course teaches about time-series analysis and the methods used to predict, process, and recognize sequential data. The course focuses on white noise, univariate stationary and integrated non-stationary random series, and introduces random walks, models for linear processes (stationary autoregressive, moving average, nonstationary integrated ARMA), and the basics of multivariate time series (VAR) models. Throughout the course macroeconomic and finance applications will be exercised.",1,
MSE,ECON313,Advanced Time Series,"The course provides a survey of the theory and application of estimation, diagnosis and identification of non-linear multivariate time series models in econometrics. Non-linear (e.g. TAR and GARCH) and non-stationary (e.g. regression with stationary errors) time series models will be central to this course. The course features applications of time series models and forecasts in various subfields of finance and economics.",1,
MSE,ECON314,Panel Data Analysis,"This is an advanced course in Econometrics with a special focus on the analysis of panel data – multidimensional data evolving over time. A wide range of models commonly practiced in the field will be covered, with a special emphasis on generalized method of moments (GMM) techniques, such as the Arellano-Bond estimator.",1,
MSE,ECON315,Financial Econometrics and Time Series Analysis,"This course is an introduction to data analysis and econometric modeling using applications in finance and time series. The course uses concepts from microeconomics, finance, mathematical optimization, data analysis, probability models, statistical analysis, and econometrics. The course will be 16 weeks long. Each week consists of one 150 minutes lecture. Finance topics include asset return calculations, risk and performance measures, portfolio theory, index models, and applied time series analysis. Quantitative methods involve basic matrix algebra. Statistical topics include probabilities, expectation, joint distributions, covariance, normal distribution, sampling distributions, estimation and hypothesis testing, data analysis, linear regression, time series methods and simulations. There will be weekly frequent homework assignments requiring STATA programming. Students will work independently and periodically in groups to complete problem sets and group projects. Students will be graded on quizzes/problem sets, midterm and final exams. The course qualifies for all MSE tracks.",3,
MSE,ECON316,Topics in Applied Health Econometrics (seminar),"This course reviews a range of econometric methods (such as Probit, Logit, Tobit, Poisson, Negative Binomial, LAD, Matching, GLM) that have been used for testing economic hypotheses in health outcomes. Starting with an introduction to health outcomes, the course will proceed to advanced econometric methods for addressing specific problems generated by either the nature of the data generation process or the economic relationships being examined. The course will develop your econometric skills in several ways. First, the course will review numerous econometric models and in each case discuss the type of problems the model is suited for, how to test hypotheses, and the shortcomings of various models. Second, you will be asked to prepare two presentations; first presentation will cover a particular method and second presentation will cover health condition related outcomes. Third, to assist in the development of your data management, modeling, computer, and interpretative skills, you will use Stata to analyze data. Students will be graded on quizzes/problem sets, midterm, project/presentation and final exams. The course qualifies for the MSE Applied Economics track.",3,
MSE,ECON317,Data Scraping,"This course will introduce the main methods of acquiring data from the web and other digital sources. Students will learn how to scrape, parse, and read web data as well as access data using web APIs (e.g. Twitter, LinkedIn etc.). They will work with HTML, JSON and other data formats in Python. They will also learn how to use a set of freely available tools to gather data from the web. The format of the course will be mainly case-based introducing the applications of data scraping in various aspects of business and economics. Student’s work will be evaluated based on class participation, quizzes/problem-sets, midterm and final project. The course qualifies for the MSE Applied Economics track.",1,
MSE,ECON318,Advanced Econometrics I,"Econometric methods for microeconometric models. Topics include limited dependent variable, qualitative variable, duration, and other models. The course will help you to develop data management, modeling, statistical programing, and interpretative skills. Students will be graded on quizzes/problem sets, midterm, project/presentation and final exams.",1,
MSE,ECON319,Data Analytics,"Econometric methods for empirical research in economics. Topics include matching, quantile regression analysis, CART Trees (Decision Trees, Regression), Neural Networks and other models and their applications in Economics. The course will help you to develop data scraping and management, modeling, visualization, statistical programming, and interpretative skills. Students will be graded on quizzes/problem sets, midterm, project/presentation, and final exams.",1,
MSE,ECON320,Microeconomic Theory,"The course covers key topics in the modern microeconomic theory at an advanced graduate level. It focuses on the behavior of individual consumers and firms in making economic decisions and on how these decisions affect market outcomes. Topics include consumer and producer theory, decision making under uncertainty, general equilibrium and welfare properties, market equilibrium and market failure, perfect and imperfect competition. Throughout the course, students analyze various microeconomic problems and policy issues by completing weekly problem sets. Upon successful completion of this course, students will be able to employ quantitative techniques to model economic phenomena from the perspective of the individual agents.",3,
MSE,ECON322,Microeconomic Theory 2,"This is the second graduate level course in Microeconomic Theory. The course will cover topics in game theory, market equilibrium, and market imperfections. Additional advanced topics in Microeconomic theory may be included as well. Students will be graded on quizzes/problem sets, homework assignments, midterm and final exams.",3,ECON320
MSE,ECON327,Industrial Organizations,"The course is designed to equip students with tools necessary to study complex market structures and firm behavior. It starts by covering main topics in game theory that are necessary to analyze strategic interactions of the firms in the markets. In particular students will master concepts of perfect and Bayesian equilibrium: the necessary building blocks of IO models. Theoretical models will address issues of static and dynamic price competitions, repeated interactions and tacit collusions, spatial and monopolistic competition, strategies of entry and accommodation. Students will also be introduced to firms’ competitive behavior under asymmetry of information. Empirical models will mainly deal with complex problem of demand estimation in industries. Students will be provided with specific reference materials, but will be expected to read more advanced materials on some selected topics. Evaluations will be based on homeworks and exams, as well as they will be asked to read, analyze and present a seminal paper on IO and discuss it with their peers. This is a 3 credit hour course.",3,"ECON320, ECON330"
MSE,ECON328,Advanced Regulatory Analysis,"This course focuses on the importance of Regulatory Impact Analysis (RIA) and Cost-Benefit Analysis (CBA) as fundamental tools in normative economic analysis and policy-making. Students will learn how to evaluate proposed policy changes using CBA from financial and economic (including welfare) perspectives, with an emphasis on uncertainty and risk analysis. By the end of the course, students will be equipped with the skills to evaluate policy efficiency and impact by using RIA and CBA.",0,
MSE,ECON330,Macroeconomic Theory,"The course covers key topics in the modern macroeconomic theory at an advanced graduate level. It focuses on models of medium- and long-run macroeconomic dynamics and their empirical implications. Topics include different models of economic growth, theories of aggregate fluctuations, macroeconomic policy and their implications. Throughout the course, students analyze various macroeconomic problems and policy issues by completing weekly problem sets. Upon successful completion of this course, students will be able to employ quantitative techniques to model economic phenomena from the macroeconomic perspective.",3,
MSE,ECON331,Monetary Theory and Policy,"The course focuses on monetary aspects of the business cycle. Using different theoretical models the course studies the goals of monetary policy, the choice of policy instruments, the rule-versus-discretion debate, central bank credibility and etc. Throughout the course students analyze various problems and policy issues by completing weekly problem sets. Upon successful completion of this course, students will be able to employ quantitative techniques to model monetary phenomena. Students will be graded on problem sets, midterm and final exams. This is a 3 credit hour course. The course qualifies for the MSE Monetary and Macroeconomic Policy track.",2,"ECON320, ECON330"
MSE,ECON332,Macroprudential Policy and Regulation,This course introduces macro regulatory policies for maintaining systemic financial stability in the economy. Advanced survey of the emerging macroprudential policy and regulation literature will be covered. The course will touch on such topics as the coordination or tradeoffs among macro prudential policies and monetary and fiscal policies.,1,
MSE,ECON333,Advanced Macroeconomics,This course will be devoted to the usage of advanced techniques in macroeconomic analysis to study various phenomena of the macroeconomy. The course will pay particular attention to heterogeneous-agent based general-equilibrium modeling.,1,
MSE,ECON334,Empirical Macroeconomics,"The focus of this course are the empirical models that are widely practiced in macroeconomic analysis. Central to the course are Bayesian Vector-Autoregressive models. Upon successful completion of this course, students will be able to employ quantitative techniques to model macro-monetary phenomena.",1,
MSE,ECON335,Monetary Policy and Financial Markets,"The course covers topics in monetary policy and financial markets. It consists of two parts. The first part focuses on monetary aspects of the business cycle and covers different theoretical models of monetary policy, as well as relevant empirical evidence. The second part focuses on pricing of bonds, forward and futures contracts, risk measures, portfolio analysis and asset pricing models. During the course MatLab is used to simulate models and implement different methods. Throughout the course, students analyze various problems and policy issues by completing the weekly problem sets. Upon successful completion of this course, students will be able to employ quantitative techniques to model monetary and financial phenomena, as well as to study the impacts of implemented monetary policy. The course requires a solid background in mathematics. The course qualifies for the MSE Monetary and Macroeconomic Policy track.",3,"ECON320, ECON330"
MSE,ECON336,Macroeconomic Policy Seminar,"The course explores 3 major areas of modern macro–economic policies including basic policy goals, instruments, policy design, applications and their consequences. First the most prominent types of monetary policy regimes will be discussed, such as Inflation Targeting under flexible exchange rate, which will be followed by discussion on various forms of monetary systems and exchange rate regimes. Second macro prudential and regulatory policies for maintaining financial stability will be investigated. The third topic of the course will be de devoted to fiscal policy. Finally the course will touch such topics as international policy coordination, supervision and coordination or tradeoffs among monetary and fiscal/macro prudential policies.  The primary focus will be both on advanced economies and emerging markets including Armenia. The prevention and management of various types of economic crises will be discussed. In particular the 2008 US crisis, ongoing Eurozone crisis, their spillovers onto emerging markets and recent CIS region crisis and currency depreciations will be analyzed. Students will be graded on class participation, midterm and final exams. This is a 3 credit hour course. The course qualifies for the MSE Monetary and Macroeconomic Policy track.",3,"ECON320, ECON330, ECON331"
MSE,ECON340,International Trade,"This course in international economics provides a comprehensive overview of the traditional trade theories and related empirical – including econometric and computational – models. Special focus of the course will be on trade policies, such as tariffs, quotas, and non-tariff barriers, and their effects on trade flows and welfare.",1,
MSE,ECON341,International Economics: Empirical Models,"This course in empirical models in international economics explores the use of economic theory and econometric specifications in empirical research. Students will learn to estimate econometric models to analyze the effects of trade policies, international migration, FDI flows, remittances and the like.",1,
MSE,ECON342,Labor Economics,"This course aims to acquaint students with traditional and contemporary topics in labor economics. Topics covered may include wage and employment determination, discrimination, job mismatch, and human capital accumulation among many others. Special attention will be given to labor market policies. Theoretical and empirical aspects of labor economics will be covered with a particular emphasis on the interaction between theoretical and empirical modeling. Three hours of instructor-led discussion per week.",1,
MSE,ECON343,Development Economics,,1,
MSE,ECON344,Experimental Economics: Firms and Productivity,"This graduate-level course centers on the application of experimental methods to study firm behavior and organizational dynamics. Through the examination of literature and case studies, students will explore how these methods contribute to improving worker productivity and similar issues within firms. The course aims to provide a nuanced perspective on industry-related policies and their impact on organizational dynamics.",1,
MSE,ECON349,Special Topics in Economics,This course is designed to introduce graduate students to some of the emerging global trends in Economics. Topics to be announced prior to course registration.,3,
MSE,ECON350,Financial Economics,"Much of modern financial economics works with models in which agents are rational and arbitrageurs can fix any mis-pricing. Behavioral Financial Economics is the area of finance which relaxes both of these assumptions. Behavioral models usually have two building blocks: limits to arbitrage, which make it difficult for rational traders to undo the dislocations caused by less rational traders; and psychology, which catalogues the kinds of deviations from full rationality we might expect to see. We discuss these two topics, and then consider a number of applications such as asset pricing (the aggregate stock market and the cross-section of average returns) or individual investor portfolio choice and trading behavior.",3,ECON320
MSE,ECON351,Finance Theory,"This course covers modern finance theory and practice. The topics of the course include: 1) functions of financial markets and intermediaries; 2) analysis and valuation of traded securities; 3) portfolio management theory, tools for portfolio performance measurement and asset pricing models; 4) fixed-income securities; 5) introduction to derivatives and alternative investments; 6) SAA models and risk management tools; and 7) applications of economic analysis to portfolio management. Students will be graded on quizzes/problem sets, midterm and final exams. The course qualifies for the MSE Finance track.",3,
MSE,ECON352,Behavioral Finance,"This course explores the psychological drivers of financial decision-making. Students will analyze behavioral biases, heuristics, and their tangible impact on market dynamics. By covering seminal studies and theoretical frameworks, participants will gain a comprehensive understanding of the interplay between human psychology and the decision-making process, and how these elements shape financial behavior.",1,
MSE,ECON353,Economics of Corporate Finance,"The objective of this course is to learn the economics behind financial tools that are used in financial decision making process. The course presents the economic insights of corporate finance theory and emphasizes the application of theory to real-life financial decisions. Several real business cases will be discussed during the course. Student’s work will be evaluated based on class participation, quizzes/problem sets, midterm and final project. The course qualifies for the MSE Finance track",1,
MSE,ECON354,Asset Allocation and Multi-asset Investing,"The course examines asset allocation and multi-asset investing from a practitioner’s perspective. It is intended to explore the strategies, themes, and formal building blocks that practicing asset allocators need to be proficient in. In addition to becoming familiar with the substance of a range of investment topics, students will be taught how to present research and investment results in a professional setting. Student’s work will be evaluated based on class participation, in-class quizzes/problem sets, midterm and final project. The course qualifies for the MSE Finance track.",3,"ECON315, ECON351"
MSE,ECON355,Financial Markets and Modeling,"The course examines the composition of financial markets, the analysis and valuation of traded securities, portfolio management theory and tools for portfolio performance measurement. To increase the practical skills of the students, relevant software is used to develop different methods and financial models. Throughout the course students analyze various problems and policy issues by completing weekly problem sets. Upon successful completion of this course, students will be able to understand financial relationships, how financial markets operate and employ quantitative techniques to analyze and evaluate investment decisions. Students will be graded on problem sets, midterm and final exams. This is a 3 credit hour course.",3,"ECON320, ECON330"
MSE,ECON356,Equity Valuation,"The course examines the composition of financial markets, the analysis and valuation of traded securities, portfolio management theory and tools for portfolio performance measurement. To increase the practical skills of the students, relevant software is used to develop different methods and financial models. Throughout the course students analyze various problems and policy issues by completing weekly problem sets. Upon successful completion of this course, students will be able to understand financial relationships, how financial markets operate and employ quantitative techniques to analyze and evaluate investment decisions. Students will be graded on problem sets, midterm and final exams. This is a 3 credit hour course.",1,
MSE,ECON357,Portfolio Management and Asset Allocation,,1,
MSE,ECON358,Financial Engineering,"This graduate-level course in financial engineering provides students with a comprehensive understanding of the theoretical foundations and practical applications of financial engineering techniques. Through hands-on projects, students will develop the skills necessary to navigate the rapidly evolving field of financial engineering and make informed decisions in the face of uncertainty and market volatility.",1,
MSE,ECON359,Financial Econometrics,"This course is an introduction to data analysis and econometric modeling
using applications in finance and time series. The course uses concepts
from microeconomics, finance, mathematical optimization, data analysis,
probability models, statistical analysis, and econometrics. The course will
be 5 weeks long. Each week consists of one 150 minutes lecture.
Quantitative methods involve basic matrix algebra. Statistical topics include
probabilities, expectation, joint distributions, covariance, normal
distribution, sampling distributions, estimation and hypothesis testing,
data analysis, linear regression, time series methods and simulations.
There will be weekly frequent homework assignments requiring STATA
programming. Students will work independently and periodically in groups
to complete problem sets and group projects. Students will be graded on
quizzes/problem sets, midterm and final exams. The course qualifies for all
MSE tracks.",1,
MSE,ECON360,Public Economics,"This course examines the role of government in the economy, and how the market may fail to produce efficient or equitable outcomes. We consider policies that may correct for market failures, and challenges posed by politics and incomplete information. The course will have a strong theoretical angle. It also includes an overview of the federal, state, and local budgets, and takes both a contemporary and historical look at the role of government in providing defense, infrastructure, education, pensions, health care, unemployment insurance, and other services.",1,
MSE,ECON361,Sustainable Development,"The purpose of this course is to develop general understanding of sustainable development (SD) and the way this paradigm is translated into policy-making. Three basic blocks of the concept are presented step by step: economic development, social change and conservation of environment. The course will begin with reviewing the current state of the planet, exploring the inception of the SD concept, and international efforts undertaken in the mainstream of this concept since early 70s. Then the focus will shift to economic policy and discuss economic growth vs. economic development. The course will then move to the issues of social change, particularly addressing poverty and hunger, income inequality, education and human capital as factors of SD. Next the instructor will turn to the issues of overpopulation, urbanization, scarcity of natural resources and impact of these factors on SD.",1,
MSE,ECON362,Public Finance: Taxation,"Course in public economics with an emphasis on the use of empirical models to evaluate tax policy. Students will gain practical knowledge in identifying causal effects, estimating revenue and distributional effects, and analyzing behavioral responses to tax changes. Through hands-on exercises students will learn to apply empirical methods to real-world tax policy questions.",1,
MSE,ECON363,Development Economics,"This graduate-level course in development economics provides an overview of methods and practical issues related to economic development theory and policy. Students will examine factors influencing growth, exploring the role of institutions, and government policies in shaping the economic environment of developing nations. Through critical analysis of empirical studies, students will gain insights into the methodological challenges and opportunities associated with fostering development in diverse contexts.",1,
MSE,ECON376,Applied Topics in Data Analytics,This course is designed to introduce graduate students to some of the emerging global trends in applied data analytics. The course covers concepts and practice not covered by other courses in econometrics or data analytics.  Topics to be announced prior to course registration.,1,
MSE,ECON380,Professional Internship,"During Professional Internship the student is expected to gain experience and improve skills through appropriate developmental work assignments in a real business environment. Students must discuss specific learning objectives with the MSE program chair and internship coordinator at the beginning of the semester and receive approval of their plans in order to register and receive credits for the internship. The internship must be related to economics and finance, and require knowledge suitable for a master’s degree level. The total work load requirement is 8-10 hours per week for 15 weeks, which includes both hours at the workplace and hours needed to compete the research or analysis related to the work. At semester end, each student prepares a written paper reflecting on the work experience. Student performance is evaluated by the internship coordinator and program chair based on written report and report presentation. Depending on the internship type the course may qualify for MSE track credit, upon program chair approval. Program Chair’s approval needed.",3,"ECON320, ECON330"
MSE,ECON383,Pre-Thesis,,1,
MSE,ECON385,Economic Research Seminar,"This course introduces students to economic research methods, prepares them to conduct independent research, and is essential for students’ capstone writing course. Students will be exposed to an array of research designs and reports, which they analyze and critique as well as use to inform the development of their own research. By mid-term, students prepare a formal proposal and presentation for their capstone research project, with the following components: 1) research question, 2) literature review, and 3) description of research methods. After receiving feedback from instructor and peers, students begin to collect and analyze their data. By the end of the course, students will complete a written report and present their findings from the research collected and analyzed. This report and presentation will serve as the basis for students’ capstone projects.",3,"ECON311, ECON320, ECON330"
MSE,ECON386,Capstone,"The Capstone course is designed for students to demonstrate their mastery of economic concepts and research methods. Over the course of the semester, students will work closely with a faculty advisor to develop and execute an individualized research project. Depending on the nature of the project, this may involve field work, model building, or data collection and analysis. Students will produce a thesis of publishable quality and present it to faculty and peers.",3,
CTHM,HHM320,Principles of Hospitality Marketing,This 5-week course will introduce students to the field of marketing and marketing management,1,
CTHM,HHM330,Foundations of Accounting,"This 5-week course introduces students to the terminology, procedures and principles of financial accounting and reporting, also to the value of accounting information for managerial decision-making for financial analysis. Students will also analyze the relationships between accounting techniques and other organizational activities such as strategy and employee motivation.",2,
CTHM,HHM340,Corporate Communications in Hospitality,"This 5-week course builds cumulatively from simple writing of business emails to those of greater complexity, such as the composition of a formal business letter, following the writing framework and the ACE writing process",1,
CTHM,HHM350,Basic Quantitative Tools,This 5-week intensive workshop for incoming students is designed to refresh the basic quantitative tools essential for the successful completion of the program.,1,
CTHM,HHM351,Bootcamp – Communications,This 5-week intensive workshop for incoming students is designed to refresh the basic communication essential for the successful completion of the program.,1,
CTHM,HHM361,Hospitality Pricing and Sales,"This 5-week course will introduce the students to the hotel and hospitality economics, financial strategy and planning, budgeting with emphasis on revenue management and cost control, financial reporting, analysis, and audit",1,
CTHM,HHM362,Hospitality Marketing,This 5-week course will introduce the students to the hospitality and tourism marketing,2,
CTHM,HHM371,Introduction to Hospitality,"This 5-week course will introduce the major concepts, issues, and theories of tourism and hospitality as Industry and topic of academic study.",1,
CTHM,HHM381,Hospitality Operations Management,This course will introduce the key operational principles behind hotel and hospitality management.,3,
CTHM,HHM385,Strategic and Financial Management,"This 10-week cumulative and comprehensive course brings together the skills and disciplinary understanding gained in previous courses, with a focus on managerial decisions and actions that determines the long-term performance of a company in the Hospitality Industry",2,
CTHM,HHM390,Internship,,1,
CTHM,HHM396,Capstone,,1,
MSMA,MGMT030,Foundations of Accounting,"This course introduces students to the terminology, procedures and principles of financial accounting and reporting, also to the value of accounting information for managerial decision-making for financial analysis. Students will develop the necessary skills to:   1. Analyze routine business transactions and accounting information.  2. Measure assets, liabilities, equities, and income.  3. Understand, analyze, and develop financial statements and other forms of financial reporting and communication.   4. Understand fundamentals of managerial accounting, including types of cost and cost behavior, product costs, marginal and absorption costing.   5. Students will analyze the relationships between accounting techniques and other organizational activities such as strategy and employee motivation. Students will also learn to use accounting information to develop solutions for managerial challenges.   Home tasks will require students to complete weekly reading assignments and problem solving, apply accounting procedures and principles in order to analyse business transactions and accounting information.",3,
MSMA,MGMT040,Foundations of Marketing,"This survey course introduces students to the fundamental concepts in marketing. The marketing theory and different frameworks for decision making are covered. Topics include marketing strategy, target market selection and positioning, buyer behaviour, and the impact of technology and social responsibility on the discipline. The course is delivered through a mix of lectures, in-class (online) group activities, case studies and discussions.   This is a hybrid course specifically designed for graduate management students who come from non-business backgrounds and/or undergraduate business students who are looking to pursue graduate studies in management.   NOTE: This course is a prerequisite for the more advanced Marketing Management course for non-business background students within the MSM program.",3,
MSMA,MGMT050,Business Communications,"The course builds cumulatively from simple writing of business emails to those of greater complexity, such as the composition of a formal business letter, following the writing framework and the ACE writing process. In addition, the students will learn about formal vs. informal communication, how to develop and deliver an effective presentation in a business environment. Overall, it is expected that each student who completes the course will gain a thorough knowledge of how to effectively communicate in the workplace through writing and verbal communications.",1,
MSMA,MGMT060,Foundations of Finance,Cross-listed with BUS230,3,
MSMA,MGMT300,Quantitative Tools for Management,"This course provides an intensive introduction to core concepts in mathematics and statistics, and the main tools that necessary for quantitative analysis in decision-making process. Topics include optimization, financial mathematics, probability theory and data analysis. Materials are of depth and coverage necessary for efficient progress in subsequent courses of business analytics, finance, operations management and others. Students will utilize software such as MS Excel and SPSS to solve problems. This intensive course will be a combination of instructor led lectures and computer-lab sessions.",4,
MSMA,MGMT323,Business Strategy and Innovation,"In this course, students will develop the ability to think strategically about business problems by analyzing challenges in various industries with a focus on the roles of key players and the fundamentals of analytical and strategic reasoning. Through case studies, students will examine the different stages involved in making and implementing strategic decisions: defining the problem(s), establishing the criteria (both quantitative and qualitative), designing alternative solutions, and making a decision based on objective criteria. Examples of applied competitive and industry analysis are emphasized. Instructor-led discussions with extensive use of case studies.",3,
MSMA,MGMT325,Business Analytics,"Business analytics focuses on data-driven decision making in business. Applications of business analytics can be utilized in operations, marketing, finance, human resource management among other functional areas of business. In this course, students will examine selected cases to learn how to make reliable forecasting (predictive analytics), evaluate impact of certain decisions (prescriptive analytics), as well as solve optimization problems while exploring the challenges that can arise in implementing analytical approaches within an organization. Instructor-led discussion and lab time based on designated cases, as well as applied home assignments.",3,MGMT300
MSMA,MGMT326,Managerial Finance,"This course studies the effects of time and uncertainty on decision-making. Topics include discounted cash flow valuation, stock and bond valuation, the term structure of interest rates, capital budgeting, risk and return, dividend policy decisions, portfolio theory, asset pricing models and efficient markets. Instructor-led lectures and discussions with case studies.",3,
MSMA,MGMT328,Advanced Topics in Data Analysis,"This course teaches the techniques of time series analysis and methods of experimental and quasi-experimental techniques to evaluate the efficiency and impact of interventions (policy or business decision). All classes are conducted in a computer lab and can be accommodated to various softwares, depending on students’ background in Business Analytics course.",2,
MSMA,MGMT329,Data Management,"The purpose of this course is to give students a comprehensive understanding of data management principles and techniques essential for effective analysis. The course covers various aspects, including data manipulation, scraping, SQL, and visualization. Students will learn to work with data using tools like Pandas, Numpy, and SQL, and will gain proficiency in data visualization using libraries such as Matplotlib, Seaborn, and Plotly. Additionally, they will explore the creation of interactive dashboards using open source frameworks (such as Streamlit) and state of the art off-the-shelf packages (such as PowerBI or Tableau). The course is designed in a way to ensure that students will be proficient in coding and applying the knowledge obtained. Instructor led classes are combined with dedicated lab sessions.",3,MGMT300
MSMA,MGMT331,Behavioural Economics for Management,"This course focuses on the behavioral aspects of economic decisions made by managers of business firms, the employees and the consumers of their products and services. The course briefly reviews the basis for economic decision making and turns to consideration of various models of behavioral economics, mostly refraining from mathematical representations. Topics covered will address perceptions of risks, self-control and time (in)consistency issues, social motivations (reciprocity, trust, inequity, etc.), mistakes in decision making and others. The course relies on readings from various articles and handbooks and applies case-studies for facilitating the learning.",3,MGMT300
MSMA,MGMT335,Managerial Economics and Strategy,"The course is meant to develop a deeper understanding of how firms make decisions in the face of uncertainty, competition, and changing market conditions. The course covers a range of topics related to microeconomics, game theory, and industrial organization, as well as their applications to strategic decision-making. The course briefly refreshes the basic concepts, such as demand and supply, cost functions, and market structure. The core part of the course focuses on game theory and its applications to strategic decision-making. Students learn how to use game theory to analyze strategic interactions between firms. The course also covers topics such as collusion, entry deterrence, business negotiations and product differentiation, and how they affect market outcomes. Classroom lectures with regular problem solving and discussion sessions are envisaged.",3,
